id,app_name,version,userid,date,rating,title,text,has_information_giving,has_information_seeking,has_feature_request,has_bug_report,sentiment_score
1,BLINQ,2,326566,2015-06-29,1,a joke,It is a few hours but man is not released until today.,0,0,0,0,-1
2,BLINQ,2,Dust99,2015-06-28,1,Login,Facebook Login? No. App immediately deleted.,1,0,1,0,-1
3,BLINQ,2,De PÃ¤de us ZÃ¼ri,2015-06-24,1,deleted immediately.,Uses Facebook,0,0,0,0,-1
5,BLINQ,1.7,Mawi2591,2015-06-04,4,OK,"fun app, but too many inactive users",1,0,0,0,1
6,BLINQ,1.7,bene lynx,2015-06-03,3,Ipad,"though says that it is also compatible with the iPad, but not true! The logo is not displayed correctly and when you open the app is the representation, as if you open an iPhone app on the iPad . If possible update, then there are more stars. Another point is the recording process: You have to login to FB, but nevertheless its several days before it will be accepted as a member ? For me, completely incomprehensible !",1,0,1,1,0
7,BLINQ,1.7,bene lynx,2015-06-02,3,Ipad,"though says that it is also compatible with the iPad, but not true! The logo is not displayed correctly and when you open the app is the representation, as if you open an iPhone app on the iPad . If possible update, then there are more stars. Another point is the recording process: You have to login to FB, but nevertheless its several days before it will be accepted as a member ? For me, completely incomprehensible !",1,0,1,1,0
8,BLINQ,1.6,Anbos,2015-05-24,2,wait,how long do I have to wait?,0,1,0,0,-1
9,BLINQ,1.6,Enemy1993,2015-05-24,1,Absolutely terrible,"Worst app I have ever downloaded, waste of time, do not even bothe. They Do not even review your profile so I have not even tried it",0,0,0,0,-1
11,BLINQ,1.6,Grcka,2015-05-20,1,Facebook,and without Facebook can Blinq not use or how ? There must also be an alternative logon options! Are there any other everywhere,0,1,0,0,-1
14,BLINQ,1.6,blinq-blinq,2015-03-26,5,wonderful dating!,Like it very much!,0,0,0,0,1
15,BLINQ,1.6,Kennyun1337,2015-03-19,1,Not good,waiting Meanwhile more than a week and nothing has happened.,0,0,0,0,-1
16,BLINQ,1.6,bruums,2015-03-14,1,Well,So I am still waiting for the recording since seven days !,0,0,0,0,-1
17,BLINQ,1.6,Christoph 40,2015-03-14,4,Blinq,Okay,0,0,0,0,1
18,BLINQ,1.5.2,cranial Schnegg,2015-02-28,1,too many inactive users,No one writes back,1,0,0,0,-1
20,BLINQ,1.5.2,KafiGipfeli,2015-02-05,1,Requires Facebook,Requires Facebook. deleted immediately. Requires Facebook. immediately deleted.,1,0,0,0,-1
21,BLINQ,1.5.2,Arrrsy,2015-02-04,1,junk,Dont bother! You need a Facebook login and only god knows how many friends!,1,0,0,0,-1
23,BLINQ,1.5.1,DebbieGraf1992,2015-01-07,2,goes too long,How long does it take until it is picked up?,0,1,0,0,-1
24,BLINQ,1.5.1,Tester132465,2015-01-06,5,Funny,for in between,0,0,0,0,1
27,BLINQ,1.5,Core Force,2014-12-18,2,I do not recommend,"That with the entrance exam .If you register recording chance was high. After recommendation to Facebook friends dropped to low. One should so do not recommend this app better next to the creators:Thats kid stuff, if you eventually want to sales, then you have to pursue a different strategy",1,0,0,0,-1
28,BLINQ,1.5,raffster,2014-12-18,1,.... unfortunately only possible with Facebook! Too Bad. Ums times finely express them,Once again.,1,0,0,0,-1
